English,Vietnamese
via,thông qua
vulnerable,dễ bị tổn thương
evaporation,bay hơi
archeological,cổ tích học
stem,"ngăn, chặn"
vanish,biến mất
illustrious,có danh tiếng
priest,thầy tu
secular,thế tục
refinement,tinh tế
substantiate,chứng minh
high-end,cao cấp
consolation,an ủi
splurge,sự làm phách
intertwine,ráp lại với nhau
statehood,tiểu bang lân cận
deposit,tiền gửi
influx,dòng
territory,lãnh thổ
brew,trù liệu
mineral,khoáng sản
amendment,sửa đổi
adminssion,adminssion
immense,bao la
noticeable,đáng chú ý
downturn,suy thoái
restless,bồn chồn
agitated,lo âu
abandon,bỏ
forewarn,cho hay trước
anecdotal,không hoàn toàn đúng
seismic,địa chấn
superior,cấp trên
rudimentary,thô sơ
ascertain,xác minh
lateral,ở bên
burgeon,đọt non
justification,sự biện hộ
inherent,vốn có
manifest,rõ ràng
presume,tự phụ
diminished,giảm bớt
accountability,trách nhiệm giải trình
stem from,xuất phát từ
invert,đảo ngược
ascribe,"phóng đại, thổi phồng"
magnify,phóng đại
self-esteem,lòng tự trọng
ego,Cái tôi
transformation,sự biến đổi
the Black Death,Cái chết đen
devastating,tàn phá
strain,"sự căng thẳng, quá tải"
plague,bệnh dịch
pandemic,đại dịch
depic,depic
in conjunction with,kết hợp với
surge,dâng trào
momentous,quan trọng
mortality rate,tỷ lệ tử vong
proponent,người đề xướng
